ijkID	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	totaalJuist	totaalFout	totaalBlanco	totaalScore
27472	1	0	5	5	0	4	10	20	0	5	15	25	0	4
26795	1	0	9	0	1	9	11	8	11	9	20	8	12	9
26982	1	0	6	4	0	5	15	11	4	12	21	15	4	9
24523	1	1	7	1	2	7	18	3	9	17	25	4	11	12
24366	1	1	8	1	1	8	19	6	5	18	27	7	6	13
27031	1	1	6	3	1	5	18	8	4	16	24	11	5	11
26813	1	1	9	1	0	9	17	12	1	14	26	13	1	11
26014	1	1	8	2	0	8	20	4	6	19	28	6	6	13
26436	1	1	8	2	0	8	20	9	1	18	28	11	1	13
24611	1	0	6	4	0	5	16	9	5	14	22	13	5	9
27303	1	1	7	3	0	6	19	8	3	17	26	11	3	12
26617	1	1	6	3	1	5	18	9	3	16	24	12	4	11
27289	1	1	9	0	1	9	14	8	8	12	23	8	9	11
26207	1	0	6	3	1	5	13	10	7	11	19	13	8	8
25843	1	1	9	1	0	9	17	8	5	15	26	9	5	12
26257	1	1	5	2	3	5	16	6	8	15	21	8	11	10
27124	1	0	4	5	1	3	8	9	13	6	12	14	14	4
26844	1	1	8	2	0	8	19	8	3	17	27	10	3	12
26845	1	0	6	4	0	5	9	14	7	6	15	18	7	5
24511	1	1	8	2	0	8	15	14	1	12	23	16	1	10
25128	1	1	7	3	0	6	17	10	3	15	24	13	3	10
25783	1	1	6	3	1	5	20	5	5	19	26	8	6	12
27127	1	1	7	3	0	6	19	6	5	18	26	9	5	12
26620	1	0	5	3	2	4	15	10	5	13	20	13	7	8
26575	1	1	8	2	0	8	17	6	7	16	25	8	7	12
24382	1	1	6	3	1	5	21	6	3	20	27	9	4	12
26320	1	1	8	2	0	8	15	6	9	14	23	8	9	11
25526	1	1	9	0	1	9	18	9	3	16	27	9	4	12
26634	1	1	9	0	1	9	18	7	5	16	27	7	6	13
27476	1	0	1	6	3	0	20	7	3	18	21	13	6	9
27396	1	0	7	3	0	6	13	5	12	12	20	8	12	9
24924	1	1	8	2	0	8	25	3	2	24	33	5	2	16
26965	1	1	6	3	1	5	16	7	7	14	22	10	8	10
25611	1	1	8	2	0	8	24	3	3	23	32	5	3	15
24546	1	0	5	4	1	4	15	10	5	13	20	14	6	8
27004	1	0	8	2	0	8	13	13	4	10	21	15	4	9
25925	1	0	7	3	0	6	15	10	5	13	22	13	5	9
25553	1	1	7	2	1	7	19	7	4	17	26	9	5	12
26186	1	1	6	4	0	5	22	8	0	20	28	12	0	13
27003	1	1	9	0	1	9	23	5	2	22	32	5	3	15
26147	1	1	7	3	0	6	19	5	6	18	26	8	6	12
26449	1	0	7	3	0	6	8	13	9	5	15	16	9	6
25691	1	0	5	4	1	4	16	8	6	14	21	12	7	9
27086	1	0	3	7	0	1	16	11	3	13	19	18	3	7
25804	1	1	8	1	1	8	22	7	1	20	30	8	2	14
27463	1	0	4	5	1	3	16	12	2	13	20	17	3	8
26714	1	0	8	2	0	8	14	14	2	11	22	16	2	9
24603	1	1	10	0	0	10	22	5	3	21	32	5	3	15
26149	1	0	6	4	0	5	14	11	5	11	20	15	5	8
26596	1	1	9	1	0	9	24	3	3	23	33	4	3	16
24854	1	0	5	5	0	4	9	17	4	5	14	22	4	4
26942	1	1	4	5	1	3	20	7	3	18	24	12	4	11
26944	1	0	4	5	1	3	14	10	6	12	18	15	7	7
25449	1	0	9	1	0	9	9	8	13	7	18	9	13	8
25504	1	1	10	0	0	10	17	7	6	15	27	7	6	13
26410	1	1	8	2	0	8	24	3	3	23	32	5	3	15
25745	1	1	9	1	0	9	17	6	7	16	26	7	7	12
26430	1	1	6	2	2	6	22	6	2	21	28	8	4	13
26667	1	0	7	3	0	6	12	11	7	9	19	14	7	8
24054	1	0	8	1	1	8	11	13	6	8	19	14	7	8
26429	1	0	7	3	0	6	15	11	4	12	22	14	4	9
27064	1	1	8	2	0	8	15	10	5	13	23	12	5	10
27208	1	0	5	4	1	4	12	9	9	10	17	13	10	7
27497	1	0	8	2	0	8	7	16	7	3	15	18	7	5
25357	1	0	6	4	0	5	12	15	3	8	18	19	3	7
26594	1	1	9	1	0	9	18	10	2	16	27	11	2	12
26595	1	0	4	5	1	3	14	9	7	12	18	14	8	7
26244	1	0	5	5	0	4	11	12	7	8	16	17	7	6
25636	1	1	7	3	0	6	16	13	1	13	23	16	1	10
23886	1	1	4	6	0	3	24	2	4	24	28	8	4	13
26621	1	1	9	1	0	9	30	0	0	30	39	1	0	19
27418	1	0	4	6	0	3	10	14	6	7	14	20	6	5
26455	1	1	8	2	0	8	23	6	1	22	31	8	1	15
24632	1	0	8	2	0	8	14	16	0	10	22	18	0	9
26999	1	1	10	0	0	10	18	9	3	16	28	9	3	13
25331	1	1	10	0	0	10	25	4	1	24	35	4	1	17
26550	1	1	6	4	0	5	17	8	5	15	23	12	5	10
27330	1	0	5	5	0	4	7	21	2	2	12	26	2	3
25143	1	0	7	2	1	7	12	8	10	10	19	10	11	8
25609	1	1	9	1	0	9	21	6	3	20	30	7	3	14
27228	1	0	4	6	0	3	11	19	0	6	15	25	0	4
26132	1	0	3	7	0	1	11	15	4	7	14	22	4	4
26833	1	0	4	3	3	3	12	12	6	9	16	15	9	6
25256	1	1	8	2	0	8	22	5	3	21	30	7	3	14
26857	1	1	9	1	0	9	14	9	7	12	23	10	7	10
26331	1	0	7	3	0	6	15	11	4	12	22	14	4	9
25668	1	1	6	4	0	5	20	7	3	18	26	11	3	12
27037	1	1	7	2	1	7	14	6	10	13	21	8	11	10
27408	1	1	8	1	1	8	20	7	3	18	28	8	4	13
26580	1	1	10	0	0	10	18	10	2	16	28	10	2	13
27340	1	1	7	3	0	6	19	9	2	17	26	12	2	12
26543	1	1	9	1	0	9	21	7	2	19	30	8	2	14
25914	1	0	6	4	0	5	16	9	5	14	22	13	5	9
25602	1	0	6	4	0	5	11	13	6	8	17	17	6	6
26042	1	0	8	2	0	8	13	10	7	11	21	12	7	9
27021	1	1	10	0	0	10	24	5	1	23	34	5	1	16
25687	1	1	10	0	0	10	15	9	6	13	25	9	6	11
26702	1	1	7	3	0	6	22	7	1	20	29	10	1	13
26413	1	1	8	2	0	8	16	6	8	15	24	8	8	11
27297	1	1	9	1	0	9	16	12	2	13	25	13	2	11
25649	1	0	2	4	4	1	13	11	6	10	15	15	10	6
26099	1	0	4	6	0	3	12	17	1	8	16	23	1	5
26832	1	0	6	3	1	5	9	14	7	6	15	17	8	5
26578	1	0	2	3	5	1	5	3	22	4	7	6	27	3
25118	1	1	7	3	0	6	18	11	1	15	25	14	1	11
26166	1	1	9	1	0	9	16	8	6	14	25	9	6	11
26969	1	1	6	4	0	5	16	8	6	14	22	12	6	10
26665	1	1	9	1	0	9	18	8	4	16	27	9	4	12
24943	1	1	8	2	0	8	23	5	2	22	31	7	2	15
24713	1	1	9	1	0	9	16	6	8	15	25	7	8	12
27366	1	1	8	2	0	8	24	6	0	23	32	8	0	15
26684	1	1	6	4	0	5	24	5	1	23	30	9	1	14
26362	1	1	7	3	0	6	16	12	2	13	23	15	2	10
27108	1	1	7	3	0	6	16	13	1	13	23	16	1	10
25501	1	1	5	5	0	4	19	10	1	17	24	15	1	10
26893	1	0	7	3	0	6	7	18	5	3	14	21	5	4
25776	1	1	6	3	1	5	20	5	5	19	26	8	6	12
24692	1	1	7	3	0	6	19	9	2	17	26	12	2	12
27499	1	1	8	2	0	8	19	11	0	16	27	13	0	12
24938	1	1	8	2	0	8	19	11	0	16	27	13	0	12
26361	1	1	6	4	0	5	22	1	7	22	28	5	7	13
25179	1	1	8	1	1	8	16	10	4	14	24	11	5	11
25140	1	1	6	4	0	5	18	5	7	17	24	9	7	11
26452	1	0	7	3	0	6	12	14	4	9	19	17	4	7
26356	1	0	8	1	1	8	12	6	12	11	20	7	13	9
26383	1	1	9	0	1	9	21	7	2	19	30	7	3	14
24720	1	1	8	2	0	8	18	8	4	16	26	10	4	12
27163	1	0	5	4	1	4	12	9	9	10	17	13	10	7
27107	1	1	6	2	2	6	20	3	7	19	26	5	9	12
26151	1	0	6	3	1	5	15	8	7	13	21	11	8	9
26589	1	1	6	2	2	6	15	4	11	14	21	6	13	10
25628	1	1	5	5	0	4	21	4	5	20	26	9	5	12
26457	1	0	6	4	0	5	16	12	2	13	22	16	2	9
25835	1	0	7	3	0	6	14	12	4	11	21	15	4	9
26090	1	0	6	3	1	5	14	10	6	12	20	13	7	8
26716	1	1	6	3	1	5	18	8	4	16	24	11	5	11
25923	1	1	7	2	1	7	22	2	6	22	29	4	7	14
27424	1	0	5	2	3	5	11	11	8	8	16	13	11	6
26460	1	1	10	0	0	10	18	7	5	16	28	7	5	13
25633	1	1	8	2	0	8	16	10	4	14	24	12	4	11
24205	1	1	9	1	0	9	24	3	3	23	33	4	3	16
27427	1	1	6	3	1	5	17	3	10	16	23	6	11	11
26677	1	1	8	2	0	8	18	8	4	16	26	10	4	12
26731	1	1	7	3	0	6	21	5	4	20	28	8	4	13
23919	1	0	7	2	1	7	7	13	10	4	14	15	11	5
26574	1	0	4	5	1	3	9	15	6	5	13	20	7	4
26259	1	0	7	3	0	6	15	10	5	13	22	13	5	9
27441	1	0	4	6	0	3	14	10	6	12	18	16	6	7
25043	1	0	7	3	0	6	14	8	8	12	21	11	8	9
27180	1	1	6	2	2	6	17	6	7	16	23	8	9	11
25448	1	1	8	2	0	8	19	11	0	16	27	13	0	12
26799	1	1	6	4	0	5	18	7	5	16	24	11	5	11
24755	1	1	6	4	0	5	22	7	1	20	28	11	1	13
26579	1	1	9	1	0	9	16	10	4	14	25	11	4	11
