ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
q1441781	1	X	B	A	B	D	B	D	X	D	C	A	B	X	B	A	C	D	A	A	X	D	C	C	B	X	C	A	C	A	X	A	X	X	B	B
q1417716	1	A	B	A	B	D	B	C	B	D	C	C	X	X	B	B	C	D	A	C	X	D	C	B	X	A	D	B	A	A	C	B	C	C	B	C
q1343078	1	C	B	C	A	D	B	D	B	D	C	A	B	X	B	A	B	X	B	B	D	B	X	C	B	B	C	X	C	A	D	X	D	X	X	B
q1408682	1	C	B	A	B	D	X	D	B	D	C	A	B	X	B	A	C	A	C	A	X	C	X	X	B	X	C	X	X	A	X	X	X	X	X	X
q1345460	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	B	D	D	C	A	D	B	X	X	B	B	C	D	C	A	D	A	C	B	B	B
q1366984	1	B	A	B	B	D	C	D	B	D	B	B	B	C	A	C	C	C	B	A	D	B	A	C	A	A	C	B	A	D	D	B	C	B	C	D
q1387441	1	C	B	A	A	D	B	X	B	D	C	A	B	X	B	A	C	D	A	A	D	C	C	C	A	B	C	B	D	A	D	A	A	B	B	B
q1396326	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	B	A	D	B	C	B	X	B	C	B	B	A	D	A	C	B	B	D
q1383383	1	C	B	A	B	D	C	D	X	C	C	A	B	A	B	A	C	D	D	A	X	C	D	C	B	B	D	D	X	C	A	C	D	X	C	C
q1442004	1	C	B	A	B	D	B	D	B	D	C	A	X	X	X	A	A	C	C	X	A	X	X	C	B	B	C	B	C	A	A	X	D	X	C	B
q1419318	1	C	B	A	B	D	B	D	B	D	C	D	B	A	B	A	C	D	C	A	D	D	D	C	B	B	C	B	C	A	D	C	C	B	C	B
q1378549	1	A	B	A	B	D	X	D	B	D	C	A	X	C	X	A	C	D	B	A	A	B	C	X	B	X	C	C	B	A	D	A	B	B	B	D
q1384556	1	C	B	A	B	D	B	D	B	X	B	A	B	X	A	A	C	D	C	X	D	A	X	C	B	X	C	B	A	A	C	A	C	A	C	B
q1381834	1	X	B	A	A	D	B	D	X	D	C	X	X	X	B	D	C	D	C	A	D	B	C	X	B	B	D	B	B	A	X	B	C	X	C	D
q1311849	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	A	X	C	C	B	D	C	B	B	A	D	B	C	A	B	B
q1225009	1	C	B	A	B	D	B	D	B	D	D	D	A	A	B	A	C	B	C	A	D	D	D	C	B	B	C	B	B	A	D	B	C	B	B	B
q1426554	1	C	B	A	B	D	B	D	B	D	C	A	X	X	D	A	C	D	C	A	D	B	X	X	B	A	C	D	B	A	D	B	B	C	B	D
q1418706	1	C	B	A	B	D	B	D	B	D	C	X	X	A	B	B	C	A	D	A	D	D	X	C	B	X	C	A	C	A	X	A	B	C	X	B
q1365500	1	X	X	X	B	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
q1231296	1	C	B	A	B	D	C	D	B	D	C	A	B	X	B	X	C	D	C	A	X	B	X	X	B	A	C	B	C	A	D	A	X	X	C	B
q1427344	1	C	B	A	B	D	B	B	B	D	C	A	B	A	B	A	C	D	C	A	D	D	X	C	B	A	C	X	C	A	D	X	C	B	X	C
q1324635	1	C	B	A	B	D	B	D	X	D	C	A	X	X	B	A	C	D	C	A	X	A	X	C	B	X	C	B	C	A	X	A	B	C	B	B
q1390291	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	A	C	B	D	C	B	C	A	D	B	A	B	B	B
q1382671	1	X	B	A	B	D	B	D	B	D	C	D	B	X	B	X	C	D	X	X	C	D	C	C	C	X	C	B	X	A	X	B	C	X	B	B
q1403125	1	C	B	A	B	D	B	D	B	D	C	X	X	X	B	A	C	X	C	A	X	B	C	C	X	B	C	B	C	A	D	A	C	X	B	B
q1400698	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	X	C	D	B	A	D	X	D	X	B	B	X	B	C	A	X	A	A	B	B	B
q1333524	1	C	B	X	D	B	B	A	B	D	C	X	X	D	B	B	C	B	C	A	X	B	X	X	B	X	C	B	C	A	A	C	C	C	B	C
q1369792	1	C	B	D	A	D	B	X	X	D	C	C	X	X	X	A	C	C	C	X	D	X	X	X	C	X	C	B	C	A	X	B	A	B	B	B
q1446586	1	C	B	A	B	D	B	D	B	D	C	D	B	A	B	X	C	X	C	X	X	X	X	X	B	X	C	C	B	A	D	B	C	A	D	D
q1316263	1	C	B	A	B	D	B	B	B	D	C	A	B	X	B	A	D	D	C	A	A	D	D	X	B	D	C	A	C	D	D	A	C	C	B	B
q1399754	1	C	B	A	B	D	B	X	B	D	C	B	B	X	B	A	B	D	C	X	D	X	C	C	X	X	C	D	C	C	X	B	C	B	C	D
q1375919	1	C	B	A	B	D	B	D	B	B	C	A	A	A	B	C	C	D	D	A	D	C	C	C	D	B	C	B	C	B	D	A	C	B	D	B
q1381798	1	C	B	X	B	X	B	C	B	D	C	A	C	D	D	B	C	D	C	A	D	X	A	X	D	X	C	A	C	A	X	A	C	X	B	D
q1457200	1	C	B	A	B	D	D	B	B	D	A	C	B	B	B	A	D	B	D	A	A	B	D	C	B	C	C	B	A	A	C	A	C	C	B	B
q1383869	1	C	B	A	B	D	X	X	B	D	C	A	X	X	B	X	C	X	B	A	X	X	X	X	B	X	D	B	X	A	X	X	X	X	D	X
q1315566	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	B	D	C	B	D	C	D	C	A	D	B	C	B	B	B
q1309406	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	X	B	A	D	X	C	X	B	B
q1319719	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	X	C	A	C	A	D	B	B	X	B	B	C	X	X	A	X	B	D	X	B	D
q1378358	1	C	B	A	B	D	B	B	B	D	C	A	B	A	B	A	C	A	C	A	X	B	X	X	B	D	C	C	B	D	D	B	C	B	B	B
q1374246	1	X	B	A	B	D	C	D	B	D	C	D	X	X	B	X	C	X	B	X	D	B	X	X	X	X	X	A	X	C	X	X	C	C	C	B
q1312221	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	B	C	A	D	B	C	X	A	B	C	D	C	D	D	A	C	B	B	B
q1426450	1	C	B	A	B	D	B	D	B	D	C	X	X	C	A	X	D	X	B	X	D	X	D	X	B	X	C	X	C	A	X	B	A	X	B	B
q1400965	1	C	X	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	D	D	X	X	B	B	C	B	C	A	D	A	C	B	B	B
q1459599	1	C	B	A	A	C	B	B	A	D	A	B	X	D	B	C	A	C	A	D	D	B	C	X	C	A	C	A	B	D	B	B	C	C	B	D
q1388908	1	C	B	A	B	D	B	D	B	B	C	A	C	C	B	X	C	D	D	A	D	C	X	X	D	B	C	B	C	A	D	A	C	B	D	B
q1463779	1	C	B	A	B	D	C	C	X	D	X	A	A	X	B	C	C	A	C	A	D	B	X	X	B	X	C	B	C	A	D	B	C	B	B	B
q1403068	1	C	B	A	B	C	A	D	B	D	C	D	X	C	B	A	C	D	C	A	D	D	X	X	B	B	C	B	A	A	D	A	X	X	B	C
q1394891	1	C	B	A	B	D	B	D	B	B	C	X	B	X	B	A	C	X	C	A	X	X	X	X	B	X	C	B	C	A	X	A	C	C	C	X
q1422557	1	X	B	A	B	A	B	A	B	D	C	A	X	X	D	X	C	D	C	A	X	B	X	C	C	X	C	A	C	A	D	B	C	B	B	B
q1342240	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	X	C	D	C	A	D	D	C	C	B	B	X	X	C	A	D	A	C	B	B	B
q1318722	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	C	C	A	D	D	D	C	B	B	C	B	C	A	D	B	C	B	B	B
q1343383	1	C	B	D	B	D	B	D	B	D	C	A	B	A	B	X	C	C	B	C	D	D	C	X	B	A	C	C	A	A	X	A	C	B	B	C
q1395926	1	C	B	A	B	B	B	D	X	D	C	A	X	X	B	X	C	X	X	A	X	B	X	X	B	X	C	D	C	A	X	A	C	X	B	C
q1403868	1	C	B	A	X	D	B	D	B	B	C	A	A	C	B	A	D	D	C	A	D	B	C	C	C	B	C	B	C	A	X	A	C	C	C	B
q0950636	1	C	B	A	B	D	B	D	B	D	C	C	B	X	B	X	C	D	X	X	X	B	X	X	X	X	X	X	X	A	X	X	B	B	X	D
q1341702	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	D	C	D	C	A	D	D	C	C	B	B	C	B	B	A	D	A	C	B	B	B
q1456893	1	C	B	A	B	D	X	C	C	D	C	A	B	C	B	A	C	D	C	A	C	C	B	C	B	X	C	X	A	A	D	A	C	X	B	B
q1444438	1	B	B	A	A	A	D	A	B	C	D	X	B	D	C	B	A	C	X	A	A	D	B	A	X	D	X	A	X	B	X	C	C	A	B	B
q1373633	1	C	B	A	C	D	B	D	B	D	C	A	X	X	B	D	C	A	C	A	D	X	B	X	X	X	C	B	C	A	X	C	C	X	B	C
q1231797	1	C	B	A	B	D	B	D	B	D	C	X	X	A	B	X	X	C	B	A	D	D	X	X	C	X	C	B	C	A	D	B	C	B	B	B
q1384623	1	C	B	A	B	D	B	D	B	D	C	A	B	X	A	A	C	D	C	A	D	B	D	X	B	B	C	B	C	A	D	A	X	B	B	B
q1427287	1	X	B	A	B	D	X	B	B	D	C	A	X	D	D	X	C	A	C	A	C	B	X	B	B	B	C	D	A	A	D	C	B	B	B	B
q1371608	1	C	B	A	B	D	A	D	X	D	C	D	X	X	X	X	C	D	C	A	A	A	C	X	C	D	C	B	B	D	D	A	D	B	D	B
q1343313	1	C	B	A	B	B	B	X	X	B	C	X	X	X	D	A	C	C	X	X	A	B	C	X	X	A	C	X	X	A	D	C	C	C	C	B
q1368706	1	C	B	A	B	D	C	D	B	D	C	D	X	X	B	X	C	D	C	A	A	D	X	X	C	B	X	B	B	A	D	B	C	X	C	B
q1383635	1	C	B	D	A	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	A	D	D	C	B	B	C	B	C	A	D	A	C	B	C	B
q1416225	1	C	B	D	A	D	B	D	B	D	C	A	A	X	B	A	C	C	C	A	A	D	X	C	B	B	C	B	C	A	D	A	C	B	C	B
q1384574	1	C	B	A	B	D	B	X	B	D	C	D	B	D	B	A	C	B	C	A	B	A	A	X	X	B	C	A	B	D	A	A	B	X	B	D
q1309411	1	C	B	D	B	D	B	D	B	D	C	B	B	X	B	C	C	B	C	X	D	D	X	X	B	D	C	C	C	D	X	A	C	B	B	D
q1308584	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	C	B	B	X	X	C	A	X	A	C	X	B	B
q1377537	1	C	B	A	B	D	B	A	B	D	C	A	X	X	D	X	A	X	C	X	X	D	X	A	C	A	C	X	X	D	X	B	C	X	B	D
q1435288	1	B	B	A	B	D	C	D	A	D	C	A	X	X	B	X	C	A	B	A	X	A	X	X	X	B	B	D	X	A	X	B	A	X	B	C
q1371832	1	X	B	D	B	D	X	X	B	D	C	X	X	X	B	X	C	X	X	D	X	C	D	X	C	X	D	X	C	C	C	A	C	X	X	C
q1409643	1	C	B	A	B	D	B	B	B	D	C	A	B	B	B	C	C	C	C	A	C	B	C	C	C	D	C	A	C	D	C	B	C	B	B	C
q1384735	1	C	B	A	B	D	C	D	B	D	C	D	X	X	B	X	C	D	C	A	X	D	X	X	C	B	X	B	B	A	D	B	C	X	C	B
q1228289	1	C	B	A	B	D	D	D	B	D	C	A	A	A	B	C	C	D	A	A	D	D	D	B	D	C	B	B	B	A	D	B	C	B	C	B
q1337337	1	C	B	A	B	D	B	B	B	D	C	A	X	X	B	A	C	D	C	A	X	D	D	C	B	D	X	B	D	A	D	A	C	B	B	B
q1325419	1	C	B	A	D	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	X	X	B	X	C	B	C	A	A	A	C	B	B	B
q1426825	1	X	D	A	B	D	D	C	B	D	D	X	X	X	D	A	C	X	D	X	X	D	X	C	X	B	C	B	X	D	X	B	X	X	D	X
q1438306	1	C	C	A	B	D	B	D	B	D	C	A	B	D	B	D	A	D	C	A	A	B	X	C	B	B	C	C	C	A	D	A	C	C	B	B
q1378919	1	C	B	A	B	D	B	D	B	D	C	D	B	X	B	A	C	X	C	A	A	D	D	C	B	B	C	B	X	B	X	A	C	X	D	B
q1441125	1	C	D	A	B	D	B	B	B	B	X	D	B	X	B	A	C	D	B	A	B	B	X	D	B	B	C	B	C	D	D	A	C	B	B	C
q1426585	1	C	A	A	B	B	D	C	B	D	C	C	C	B	A	A	C	C	C	C	D	A	B	C	B	A	C	B	C	A	D	B	B	C	B	B
q1381517	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	B	A	B	C	B	C	B	A	C	B	B	A	A	A	C	B	B	B
q1383428	1	C	B	A	B	D	B	D	B	D	C	A	X	B	D	A	C	D	C	A	D	B	B	C	B	B	C	B	C	D	D	A	C	C	B	B
q1399590	1	C	B	A	B	D	B	A	B	D	B	A	C	C	C	C	B	A	A	B	B	C	C	D	B	B	C	C	B	C	B	C	C	B	C	D
q1381160	1	A	B	A	B	B	A	B	A	D	C	A	B	C	B	C	C	B	B	C	B	B	A	B	C	B	C	A	C	A	C	B	C	B	B	B
q1425230	1	X	B	A	A	D	B	D	B	D	C	A	X	A	B	A	C	X	C	A	X	D	X	C	B	X	B	B	B	A	X	A	C	B	B	B
q1374744	1	C	X	A	B	D	X	D	B	D	C	A	B	X	B	A	C	A	X	X	X	D	X	C	C	A	X	B	B	A	X	A	A	X	B	B
q1283609	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	C	D	D	C	B	D	C	B	C	A	D	A	B	B	B	B
q1342592	1	C	B	A	A	D	B	C	A	B	C	D	C	D	C	B	B	A	B	D	B	B	C	A	B	C	C	C	B	B	B	B	B	C	C	C
q1325376	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	X	D	D	C	A	D	D	D	X	B	B	C	B	B	A	X	A	C	B	B	C
q1440380	1	C	B	A	B	D	A	D	B	D	C	A	A	D	X	A	C	D	B	A	D	A	D	A	A	A	C	A	A	A	D	C	C	A	B	B
q1426857	1	A	B	X	B	D	X	X	X	D	C	C	X	B	D	X	C	D	B	X	A	X	X	C	A	X	C	A	C	A	X	A	B	C	B	C
q1132152	1	C	B	D	B	D	A	A	A	D	A	A	A	C	B	A	C	C	D	D	A	A	C	D	A	A	C	A	B	B	A	B	C	B	C	D
q1381661	1	X	B	A	B	D	X	D	B	D	C	D	X	C	X	X	C	C	C	X	B	X	X	C	X	D	C	B	C	A	D	B	C	B	C	C
q1374743	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	X	C	X	C	X	D	D	C	C	X	A	C	B	B	X	C	B	C	X	B	B
q1366662	1	X	B	A	B	X	B	D	B	D	C	A	B	C	B	X	C	X	C	A	D	X	D	X	X	X	C	B	B	A	A	A	C	B	B	B
q1402895	1	C	B	D	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	X	X	B	B	C	A	C	A	D	A	C	B	C	B
q1310234	1	X	B	A	B	D	B	C	B	D	B	A	B	A	B	A	C	D	C	A	D	D	X	X	B	B	C	B	B	A	D	B	C	A	B	C
q1417500	1	C	B	A	B	D	B	B	B	D	C	C	B	C	D	A	C	D	C	A	B	A	C	B	B	A	B	B	C	C	A	B	C	B	C	B
q1382378	1	C	D	D	B	D	B	D	B	D	C	A	B	X	B	X	C	X	C	X	X	B	A	X	B	B	C	B	X	D	X	X	C	X	B	C
q1403127	1	C	B	A	B	D	B	B	B	C	C	A	A	X	B	X	C	C	C	A	C	D	A	X	X	B	C	B	D	A	X	A	C	X	B	B
q1342295	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	X	C	A	X	D	X	X	B	B	X	C	B	A	X	A	C	X	C	B
q1325354	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	D	C	B	B	C	B	B	A	D	A	A	B	C	B
q1460010	1	D	D	A	B	D	A	D	X	B	C	C	B	D	A	X	C	D	A	A	X	C	X	X	X	X	D	D	C	B	D	A	C	X	A	D
q1301747	1	C	B	A	B	D	B	C	B	D	C	A	B	X	B	A	C	C	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
q1370120	1	C	B	A	B	D	C	D	B	D	C	A	B	B	B	A	C	D	A	A	D	D	C	B	A	B	C	B	C	A	D	A	C	B	B	B
q1365209	1	C	A	B	B	D	C	D	A	D	C	C	B	C	B	C	B	D	B	C	B	A	D	D	C	A	B	B	A	A	D	B	C	B	B	D
q1344719	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	C	B	B	B	B
q1462371	1	A	B	X	B	D	B	D	B	B	C	A	A	X	B	D	C	C	A	X	B	B	X	C	X	X	C	C	D	A	D	B	B	B	B	B
q1463094	1	X	A	A	B	A	X	A	B	B	X	X	X	X	D	X	D	D	D	D	X	B	X	C	X	X	D	C	A	X	X	D	C	X	X	D
q1309526	1	X	B	A	B	D	X	X	X	X	C	X	X	X	B	C	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
q0826738	1	X	X	X	B	A	A	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
