ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	chemie_fysicaJuist	chemie_fysicaFout	chemie_fysicaBlanco	chemie_fysicaScore
34770	1	0	12	8	2	8	6	8	2	3	6	0	0	6
34222	1	0	8	13	1	3	7	9	0	4	1	4	1	0
34321	1	1	19	3	0	16	15	1	0	15	4	2	0	3
34724	1	1	15	5	2	12	13	2	1	12	2	3	1	1
34708	1	0	7	11	4	3	6	8	2	3	1	3	2	0
33955	1	1	14	7	1	11	13	3	0	12	1	4	1	0
34454	1	1	19	1	2	17	13	1	2	13	6	0	0	6
34198	1	1	21	1	0	19	15	1	0	15	6	0	0	6
33946	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34018	1	1	14	5	3	11	11	4	1	10	3	1	2	3
34774	1	1	18	1	3	16	13	1	2	13	5	0	1	5
34543	1	1	18	4	0	15	15	1	0	15	3	3	0	2
34700	1	0	9	8	5	6	8	4	4	7	1	4	1	0
34091	1	0	12	7	3	9	8	5	3	6	4	2	0	3
34851	1	1	15	4	3	12	12	3	1	11	3	1	2	3
34517	1	1	19	3	0	16	14	2	0	13	5	1	0	5
34738	1	1	14	6	2	11	10	4	2	9	4	2	0	3
34112	1	1	16	5	1	13	12	3	1	11	4	2	0	3
34533	1	1	14	6	2	11	10	4	2	9	4	2	0	3
34804	1	1	16	6	0	13	12	4	0	11	4	2	0	3
34010	1	0	10	9	3	6	7	6	3	5	3	3	0	2
34376	1	0	2	13	7	0	1	9	6	0	1	4	1	0
34806	1	0	9	6	7	6	8	4	4	7	1	2	3	0
34214	1	1	18	2	2	16	13	1	2	13	5	1	0	5
34582	1	0	12	6	4	9	10	3	3	9	2	3	1	1
34534	1	1	15	6	1	12	11	4	1	10	4	2	0	3
34364	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34451	1	0	6	11	5	2	4	7	5	2	2	4	0	1
34303	1	1	21	0	1	19	16	0	0	16	5	0	1	5
34777	1	1	14	5	3	11	12	3	1	11	2	2	2	1
34067	1	1	19	1	2	17	13	1	2	13	6	0	0	6
34584	1	1	14	8	0	10	12	4	0	11	2	4	0	1
34841	1	1	17	5	0	14	12	4	0	11	5	1	0	5
34710	1	1	18	4	0	15	12	4	0	11	6	0	0	6
34636	1	1	19	2	1	17	16	0	0	16	3	2	1	2
34202	1	1	17	2	3	15	13	2	1	12	4	0	2	4
34308	1	0	12	6	4	9	7	5	4	5	5	1	0	5
34813	1	0	9	9	4	5	7	6	3	5	2	3	1	1
33951	1	1	18	0	4	16	12	0	4	12	6	0	0	6
34381	1	1	18	0	4	16	14	0	2	14	4	0	2	4
34784	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34380	1	1	17	4	1	14	11	4	1	10	6	0	0	6
34844	1	1	14	3	5	12	11	1	4	11	3	2	1	2
34195	1	1	16	5	1	13	12	3	1	11	4	2	0	3
34650	1	1	20	2	0	18	14	2	0	13	6	0	0	6
34295	1	0	10	4	8	8	7	3	6	6	3	1	2	3
34153	1	1	13	1	8	12	13	0	3	13	0	1	5	0
34780	1	0	13	8	1	9	8	7	1	6	5	1	0	5
34484	1	0	10	12	0	5	8	8	0	5	2	4	0	1
34357	1	1	13	3	6	11	11	1	4	11	2	2	2	1
34182	1	0	12	8	2	8	11	4	1	10	1	4	1	0
34828	1	1	14	4	4	12	10	4	2	9	4	0	2	4
34818	1	1	16	6	0	13	13	3	0	12	3	3	0	2
34569	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34796	1	1	20	1	1	18	14	1	1	14	6	0	0	6
34758	1	0	12	6	4	9	8	4	4	7	4	2	0	3
34643	1	1	12	3	7	10	9	3	4	8	3	0	3	3
34579	1	1	16	1	5	14	11	0	5	11	5	1	0	5
34603	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34599	1	1	20	2	0	18	14	2	0	13	6	0	0	6
34220	1	1	19	1	2	17	13	1	2	13	6	0	0	6
34372	1	0	13	9	0	9	11	5	0	9	2	4	0	1
34387	1	1	16	3	3	14	11	2	3	10	5	1	0	5
34737	1	1	18	2	2	16	15	0	1	15	3	2	1	2
34619	1	1	20	2	0	18	16	0	0	16	4	2	0	3
34035	1	0	11	11	0	7	9	7	0	7	2	4	0	1
34680	1	0	8	14	0	3	5	11	0	1	3	3	0	2
34699	1	0	11	4	7	9	8	3	5	7	3	1	2	3
34260	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34155	1	0	10	12	0	5	8	8	0	5	2	4	0	1
34310	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34223	1	1	15	5	2	12	12	2	2	11	3	3	0	2
34776	1	1	17	3	2	15	16	0	0	16	1	3	2	0
34458	1	1	19	1	2	17	14	1	1	14	5	0	1	5
34092	1	0	13	9	0	9	9	7	0	7	4	2	0	3
34411	1	1	17	3	2	15	13	1	2	13	4	2	0	3
34074	1	1	13	3	6	11	10	3	3	9	3	0	3	3
34656	1	0	4	2	16	3	3	2	11	2	1	0	5	1
34430	1	1	18	2	2	16	14	2	0	13	4	0	2	4
34036	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34205	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34805	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34373	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34493	1	1	20	2	0	18	16	0	0	16	4	2	0	3
34822	1	0	5	2	15	4	3	2	11	2	2	0	4	2
34709	1	0	11	11	0	7	7	9	0	4	4	2	0	3
34044	1	0	10	6	6	7	10	2	4	9	0	4	2	0
34280	1	1	16	2	4	14	14	0	2	14	2	2	2	1
34842	1	1	17	0	5	15	13	0	3	13	4	0	2	4
34159	1	1	17	1	4	15	12	1	3	12	5	0	1	5
34340	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34284	1	1	14	2	6	12	9	1	6	9	5	1	0	5
34730	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34168	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34583	1	1	15	6	1	12	11	4	1	10	4	2	0	3
34237	1	1	14	6	2	11	10	4	2	9	4	2	0	3
34127	1	1	16	6	0	13	13	3	0	12	3	3	0	2
33957	1	1	18	2	2	16	14	0	2	14	4	2	0	3
34572	1	0	10	9	3	6	9	5	2	7	1	4	1	0
34135	1	1	14	8	0	10	11	5	0	9	3	3	0	2
34154	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34171	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34314	1	1	15	1	6	13	11	1	4	11	4	0	2	4
34553	1	1	13	5	4	10	8	5	3	6	5	0	1	5
34526	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34098	1	0	12	10	0	8	9	7	0	7	3	3	0	2
34778	1	1	20	2	0	18	16	0	0	16	4	2	0	3
34562	1	0	11	6	5	8	10	3	3	9	1	3	2	0
34241	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34075	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34482	1	1	17	1	4	15	14	1	1	14	3	0	3	3
34500	1	1	21	1	0	19	16	0	0	16	5	1	0	5
34292	1	1	17	3	2	15	11	3	2	10	6	0	0	6
34717	1	1	21	0	1	19	16	0	0	16	5	0	1	5
34123	1	1	17	3	2	15	12	3	1	11	5	0	1	5
33959	1	1	18	2	2	16	12	2	2	11	6	0	0	6
34071	1	1	18	1	3	16	13	0	3	13	5	1	0	5
34283	1	0	11	11	0	7	9	7	0	7	2	4	0	1
34538	1	1	19	3	0	16	14	2	0	13	5	1	0	5
34239	1	1	14	4	4	12	11	3	2	10	3	1	2	3
34564	1	1	18	2	2	16	13	2	1	12	5	0	1	5
33980	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34754	1	0	12	6	4	9	8	6	2	6	4	0	2	4
34291	1	1	14	4	4	12	10	3	3	9	4	1	1	4
34597	1	0	12	5	5	9	10	4	2	9	2	1	3	2
34682	1	1	19	3	0	16	14	2	0	13	5	1	0	5
34492	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34011	1	0	10	8	4	7	9	5	2	7	1	3	2	0
34053	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34742	1	1	21	1	0	19	15	1	0	15	6	0	0	6
33975	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34442	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34506	1	1	13	3	6	11	12	1	3	12	1	2	3	0
34242	1	0	11	7	4	8	7	7	2	5	4	0	2	4
34259	1	0	10	10	2	6	9	5	2	7	1	5	0	0
34647	1	0	8	8	6	5	6	6	4	4	2	2	2	1
34070	1	1	17	4	1	14	13	3	0	12	4	1	1	4
34389	1	0	11	7	4	8	7	6	3	5	4	1	1	4
34277	1	1	19	3	0	16	16	0	0	16	3	3	0	2
34266	1	1	19	1	2	17	14	1	1	14	5	0	1	5
34069	1	0	7	7	8	4	5	7	4	3	2	0	4	2
34641	1	0	10	5	7	8	8	4	4	7	2	1	3	2
34649	1	1	18	3	1	15	15	1	0	15	3	2	1	2
34309	1	1	19	3	0	16	13	3	0	12	6	0	0	6
34045	1	1	19	2	1	17	15	1	0	15	4	1	1	4
34464	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34251	1	0	12	10	0	8	12	4	0	11	0	6	0	0
34747	1	1	14	2	6	12	11	1	4	11	3	1	2	3
34025	1	1	17	2	3	15	12	2	2	11	5	0	1	5
34794	1	1	12	3	7	10	10	2	4	9	2	1	3	2
34274	1	0	7	4	11	5	5	3	8	4	2	1	3	2
34300	1	1	12	4	6	10	8	4	4	7	4	0	2	4
34188	1	1	13	5	4	10	11	2	3	10	2	3	1	1
34423	1	1	21	1	0	19	16	0	0	16	5	1	0	5
34279	1	1	18	4	0	15	13	3	0	12	5	1	0	5
34713	1	1	15	5	2	12	12	3	1	11	3	2	1	2
34299	1	0	12	5	5	9	11	3	2	10	1	2	3	0
34203	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34622	1	1	15	7	0	12	14	2	0	13	1	5	0	0
34461	1	1	18	3	1	15	14	1	1	14	4	2	0	3
34542	1	1	16	6	0	13	12	4	0	11	4	2	0	3
34147	1	1	20	2	0	18	16	0	0	16	4	2	0	3
34732	1	1	20	0	2	18	14	0	2	14	6	0	0	6
34003	1	0	11	7	4	8	9	5	2	7	2	2	2	1
34392	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34420	1	1	15	7	0	12	14	2	0	13	1	5	0	0
33966	1	1	13	3	6	11	11	2	3	10	2	1	3	2
34803	1	1	17	5	0	14	12	4	0	11	5	1	0	5
34363	1	1	19	1	2	17	14	1	1	14	5	0	1	5
34421	1	1	18	3	1	15	12	3	1	11	6	0	0	6
34701	1	1	19	2	1	17	14	2	0	13	5	0	1	5
34771	1	1	18	1	3	16	15	1	0	15	3	0	3	3
34047	1	1	18	4	0	15	13	3	0	12	5	1	0	5
34172	1	1	13	3	6	11	11	2	3	10	2	1	3	2
33953	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34106	1	1	17	3	2	15	12	3	1	11	5	0	1	5
34306	1	0	12	6	4	9	9	3	4	8	3	3	0	2
34563	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34759	1	0	7	8	7	4	5	4	7	4	2	4	0	1
34537	1	1	15	6	1	12	13	2	1	12	2	4	0	1
34719	1	1	19	1	2	17	14	1	1	14	5	0	1	5
34716	1	1	19	2	1	17	14	2	0	13	5	0	1	5
34418	1	1	21	0	1	19	16	0	0	16	5	0	1	5
34034	1	1	19	1	2	17	13	1	2	13	6	0	0	6
34118	1	1	19	2	1	17	14	1	1	14	5	1	0	5
34210	1	1	21	1	0	19	16	0	0	16	5	1	0	5
34366	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34535	1	1	19	3	0	16	13	3	0	12	6	0	0	6
34651	1	1	16	5	1	13	11	4	1	10	5	1	0	5
33964	1	1	17	4	1	14	14	1	1	14	3	3	0	2
34548	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34225	1	1	14	8	0	10	11	5	0	9	3	3	0	2
34432	1	1	18	3	1	15	14	1	1	14	4	2	0	3
34023	1	0	11	2	9	9	8	1	7	8	3	1	2	3
34447	1	1	13	5	4	10	11	3	2	10	2	2	2	1
34132	1	1	13	3	6	11	11	2	3	10	2	1	3	2
34197	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34473	1	1	15	6	1	12	12	4	0	11	3	2	1	2
34487	1	1	17	5	0	14	12	4	0	11	5	1	0	5
34180	1	0	12	8	2	8	11	4	1	10	1	4	1	0
34131	1	1	17	3	2	15	12	3	1	11	5	0	1	5
34250	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34020	1	1	13	5	4	10	11	4	1	10	2	1	3	2
34048	1	1	18	4	0	15	13	3	0	12	5	1	0	5
33988	1	1	18	1	3	16	14	0	2	14	4	1	1	4
34184	1	0	11	5	6	8	9	3	4	8	2	2	2	1
34703	1	1	20	1	1	18	15	1	0	15	5	0	1	5
34390	1	1	15	7	0	12	13	3	0	12	2	4	0	1
34353	1	1	21	0	1	19	15	0	1	15	6	0	0	6
33969	1	1	20	0	2	18	15	0	1	15	5	0	1	5
33982	1	1	17	5	0	14	13	3	0	12	4	2	0	3
34244	1	1	18	4	0	15	13	3	0	12	5	1	0	5
34402	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34425	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34632	1	1	18	4	0	15	14	2	0	13	4	2	0	3
34644	1	1	15	5	2	12	12	3	1	11	3	2	1	2
34551	1	1	21	0	1	19	16	0	0	16	5	0	1	5
34142	1	1	13	5	4	10	10	3	3	9	3	2	1	2
34090	1	1	18	4	0	15	13	3	0	12	5	1	0	5
34355	1	1	16	5	1	13	13	2	1	12	3	3	0	2
34817	1	1	14	2	6	12	12	1	3	12	2	1	3	2
34345	1	1	16	4	2	13	13	2	1	12	3	2	1	2
34177	1	1	18	1	3	16	16	0	0	16	2	1	3	2
34287	1	0	11	8	3	8	11	3	2	10	0	5	1	0
34516	1	1	12	4	6	10	11	3	2	10	1	1	4	1
34849	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34657	1	1	16	4	2	13	13	3	0	12	3	1	2	3
34240	1	1	14	3	5	12	12	1	3	12	2	2	2	1
34465	1	1	18	2	2	16	14	0	2	14	4	2	0	3
34101	1	1	14	1	7	12	13	0	3	13	1	1	4	1
34089	1	1	18	3	1	15	13	2	1	12	5	1	0	5
34588	1	1	18	4	0	15	15	1	0	15	3	3	0	2
34755	1	1	15	1	6	13	11	1	4	11	4	0	2	4
34149	1	1	21	0	1	19	15	0	1	15	6	0	0	6
34254	1	1	14	4	4	12	11	2	3	10	3	2	1	2
34456	1	1	16	4	2	13	12	2	2	11	4	2	0	3
33986	1	1	15	2	5	13	12	2	2	11	3	0	3	3
